TimeStamp,Station.Number,Distance.from.36,Depth,Nitrate,Phosphate
2000-01,2,127.71,6.5,,
2000-01,3,125.32,7.5,,
2000-01,4,119.9,10,,
2000-01,8,99.77,8.5,,
2000-01,9,96.79,13.5,,
2000-01,10,93.6,9.5,,
2000-01,11,89.77,8,,
2000-01,21,46.63,10,,
2000-01,22,43.92,9.5,,
2000-01,24,37.09,5.5,,
2000-01,25,32.84,4.5,,
2000-01,27,26.19,6,,
2000-01,29,20.25,7.5,,
2000-01,30,14.75,7,,
2000-01,32,8.15,6.5,,
2000-01,34,3.53,4,,
2000-01,36,0,4,,
2000-01,649,132.94,6.5,,
2000-01,657,147.25,6,,
2000-02,2,127.71,6.5,,
2000-02,3,125.32,7.5,24.83,1.53
2000-02,4,119.9,9,,
2000-02,8,99.77,8.5,,
2000-02,9,96.79,16,29.2,1.68
2000-02,10,93.6,9.5,,
2000-02,11,89.77,9,,
2000-02,12,84.45,5.5,,
2000-02,13,78.54,5.5,28.06,2
2000-02,14,74.43,8,,
2000-02,15,69.99,13,24.59,2.01
2000-02,16,63.08,7.5,,
2000-02,17,58.89,7,25.88,2.06
2000-02,18,54.95,18.5,22,2.04
2000-02,20,51.45,13.5,,
2000-02,21,46.63,8.53125,24.925,2.61
2000-02,22,43.92,10,25.5,2.65
2000-02,23,39.66,9.5,,
2000-02,24,37.09,5.761904762,33.51,3.57
2000-02,25,32.84,4.764705882,39.19,4.21
2000-02,26,28.76,6,,
2000-02,27,26.19,6.76,38.94,4.26
2000-02,28,23.57,8.5,,
2000-02,29,20.25,7.75862069,42.77,5
2000-02,29.5,17.56,8.5,,
2000-02,30,14.75,7.259259259,50.51,5.515
2000-02,31,10.61,7.5,,
2000-02,32,8.15,7.038461538,72.58,7.17
2000-02,34,3.53,4,90.24,8.4
2000-02,36,0,4.5,106.24,9.24
2000-02,649,132.94,6.5,22.95,1.48
2000-02,657,147.25,6,20.24,1.47
2000-03,2,127.71,6.5,,
2000-03,3,125.32,7.5,,
2000-03,4,119.9,9.5,,
2000-03,8,99.77,8.5,,
2000-03,9,96.79,18,,
2000-03,10,93.6,11,,
2000-03,11,89.77,6.5,,
2000-03,12,84.45,5.5,,
2000-03,13,78.54,5,,
2000-03,14,74.43,6.5,,
2000-03,15,69.99,11.5,,
2000-03,16,63.08,7.5,,
2000-03,17,58.89,7.5,,
2000-03,18,54.95,22.5,,
2000-03,20,51.45,13.5,,
2000-03,21,46.63,9.339622642,19.21,1.95
2000-03,22,43.92,9.518518519,19.89,1.96
2000-03,23,39.66,8,,
2000-03,24,37.09,5.84375,20.63,2.11
2000-03,25,32.84,4.846153846,28.93,2.77
2000-03,26,28.76,5.5,,
2000-03,27,26.19,6.72972973,30.6,2.96
2000-03,28,23.57,8,,
2000-03,29,20.25,8.333333333,36.06,3.67
2000-03,29.5,17.56,9,,
2000-03,30,14.75,7.674418605,43.66,4.305
2000-03,31,10.61,8,,
2000-03,32,8.15,6.894736842,68.67,6.48
2000-03,33,6.81,7.535714286,,
2000-03,34,3.53,4.541666667,91.64,8.32
2000-03,35,1.66,5.263157895,,
2000-03,36,0,4.333333333,89.25,8
2000-03,649,132.94,6.5,,
2000-03,657,147.25,6,,
2000-04,2,127.71,6,,
2000-04,3,125.32,6.5,,
2000-04,4,119.9,9.5,,
2000-04,8,99.77,8,,
2000-04,9,96.79,17.5,,
2000-04,10,93.6,9.5,,
2000-04,11,89.77,8,,
2000-04,12,84.45,5,,
2000-04,13,78.54,5,,
2000-04,14,74.43,7.5,,
2000-04,15,69.99,12.5,,
2000-04,16,63.08,7.5,,
2000-04,17,58.89,7,,
2000-04,18,54.95,22,,
2000-04,20,51.45,12,,
2000-04,21,46.63,8.5,7.2,1.545
2000-04,22,43.92,9.527777778,5.2,1.47
2000-04,23,39.66,7.5,3.42,1.37
2000-04,24,37.09,5.761904762,4.9775,1.555
2000-04,25,32.84,4.5,4.82,2.025
2000-04,26,28.76,5.5,3.87,2.02
2000-04,27,26.19,6.260869565,5.9125,2.1875
2000-04,28,23.57,8,7.5,2.94
2000-04,29,20.25,7.5,8.89,2.915
2000-04,29.5,17.56,8.5,8.96,3.35
2000-04,30,14.75,6.541666667,10.4525,3.2375
2000-04,31,10.61,7.5,10.97,3.76
2000-04,32,8.15,6.76,16.49,4.07
