TimeStamp,Station.Number,Temperature
2000-01,2,9.763333333
2000-01,3,9.841428571
2000-01,4,9.933684211
2000-01,8,10.230625
2000-01,9,10.28461538
2000-01,10,10.30277778
2000-01,11,10.40933333
2000-01,12,10.47111111
2000-01,21,10.732
2000-01,22,10.79833333
2000-01,24,11.004
2000-01,25,11.065
2000-01,27,10.96181818
2000-01,29,11.00142857
2000-01,30,11.01846154
2000-01,32,11.095
2000-01,34,10.99571429
2000-01,36,11.24142857
2000-01,649,9.7275
2000-01,657,8.805454545
2000-02,2,10.88
2000-02,3,10.97071429
2000-02,4,11.10235294
2000-02,8,11.431875
2000-02,9,11.52451613
2000-02,10,11.50333333
2000-02,11,11.71411765
2000-02,12,11.784
2000-02,13,11.912
2000-02,14,11.89666667
2000-02,15,12.0384
2000-02,16,12.01357143
2000-02,17,12.07461538
2000-02,18,12.07777778
2000-02,20,12.14230769
2000-02,21,12.233125
2000-02,22,12.25
2000-02,23,12.169375
2000-02,24,12.30761905
2000-02,25,12.34411765
2000-02,26,12.41
2000-02,27,12.3712
2000-02,28,12.375
2000-02,29,12.48862069
2000-02,29.5,12.245625
2000-02,30,12.48444444
2000-02,31,12.11071429
2000-02,32,12.52769231
2000-02,34,13.05857143
2000-02,36,13.27166667
2000-02,649,10.92916667
2000-02,657,10.79181818
2000-03,2,11.31083333
2000-03,3,11.38071429
2000-03,4,11.5
2000-03,8,11.361875
2000-03,9,11.498
2000-03,10,11.47428571
2000-03,11,11.51083333
2000-03,12,11.657
2000-03,13,11.94666667
2000-03,14,11.96833333
2000-03,15,12.10318182
2000-03,16,12.09285714
2000-03,17,12.15571429
2000-03,18,12.29295455
2000-03,20,12.38769231
2000-03,21,12.26264151
2000-03,22,12.27203704
2000-03,23,12.923
2000-03,24,12.6503125
2000-03,25,12.75769231
2000-03,26,13.011
2000-03,27,13
2000-03,28,13.64566667
2000-03,29,13.15777778
2000-03,29.5,13.51647059
2000-03,30,13.22813953
2000-03,31,13.96
2000-03,32,13.29157895
2000-03,33,14.06357143
2000-03,34,13.27708333
2000-03,35,14.09947368
2000-03,36,13.19190476
2000-03,649,11.08333333
2000-03,657,10.8
2000-04,2,15.59545455
2000-04,3,15.69583333
2000-04,4,15.585
2000-04,8,14.826
2000-04,9,14.575
2000-04,10,14.53444444
2000-04,11,14.20666667
2000-04,12,14.11777778
2000-04,13,13.75285714
2000-04,14,13.67214286
2000-04,15,13.51041667
2000-04,16,13.32071429
2000-04,17,12.64461538
2000-04,18,12.0027907
2000-04,20,12.98652174
2000-04,21,13.751875
2000-04,22,14.08333333
2000-04,23,15.72642857
2000-04,24,14.85285714
2000-04,25,15.335
2000-04,26,15.794
2000-04,27,15.51434783
2000-04,28,16.024
2000-04,29,15.74857143
2000-04,29.5,16.0875
2000-04,30,16.1025
2000-04,31,16.40285714
2000-04,32,16.6356
2000-04,33,16.53846154
2000-04,34,16.247
2000-04,35,16.2525
2000-04,36,16.59142857
2000-04,649,15.58181818
2000-04,657,15.856
2000-05,2,16.43
2000-05,3,16.47384615
2000-05,4,16.56
2000-05,8,15.85066667
2000-05,9,15.72541667
2000-05,10,15.77764706
2000-05,11,15.67214286
2000-05,12,15.323
2000-05,13,14.745
2000-05,14,14.29333333
2000-05,15,14.11478261
2000-05,16,13.76090909
2000-05,17,13.39181818
2000-05,18,13.07325
2000-05,20,13.52423077
2000-05,21,14.9875
2000-05,22,14.70722222
2000-05,24,15.07
2000-05,25,15.7225
2000-05,27,16.30818182
2000-05,29,16.30733333
2000-05,30,16.58076923
2000-05,32,16.8325
2000-05,34,16.90125
2000-05,36,17.17666667
2000-05,649,16.48545455
2000-05,657,17.022
2000-06,2,20.23444444
2000-06,3,20.20363636
2000-06,4,20.21875
2000-06,8,18.78266667
2000-06,9,18.63857143
2000-06,10,18.70631579
2000-06,11,18.54533333
2000-06,12,18.247
2000-06,13,17.362
2000-06,14,16.79928571
2000-06,15,16.74347826
2000-06,16,15.36071429
2000-06,17,14.94923077
2000-06,18,14.52179487
2000-06,20,14.83285714
2000-06,21,16.443125
2000-06,22,15.97210526
2000-06,24,17.52555556
2000-06,25,18.24555556
2000-06,27,18.92153846
2000-06,29,19.32066667
2000-06,30,19.552
2000-06,32,20.6575
2000-06,34,21.65777778
2000-06,36,22.40857143
2000-06,657,21.16
2000-07,2,20.638
2000-07,3,20.38545455
2000-07,4,20.42733333
2000-07,8,19.11
2000-07,9,19.0836
2000-07,10,19.16647059
2000-07,11,19.03909091
2000-07,12,18.76666667
